trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
LESS_P_pair3,LESS,P,pair3,sursternaik,putreirdeim,969,1234, sur, put,5,5
MORE_Q_pair3,MORE,Q,pair3,putreirdeim,sursternaik,1234,969, put, sur,5,5
LESS_Q_pair3,LESS,Q,pair3,sursternaik,putreirdeim,969,1234, sur, put,5,5
SAME_P_pair4,SAME,P,pair4,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair4,OPP,P,pair4,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair4,SAME,Q,pair4,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair4,OPP,Q,pair4,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair4,MORE,P,pair4,boltrasgan,dinbrokrat,11572,16278, bol, din,4,4
LESS_P_pair4,LESS,P,pair4,dinbrokrat,boltrasgan,16278,11572, din, bol,4,4
MORE_Q_pair4,MORE,Q,pair4,boltrasgan,dinbrokrat,11572,16278, bol, din,4,4
LESS_Q_pair4,LESS,Q,pair4,dinbrokrat,boltrasgan,16278,11572, din, bol,4,4
SAME_P_pair5,SAME,P,pair5,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair5,OPP,P,pair5,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair5,SAME,Q,pair5,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair5,OPP,Q,pair5,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair5,MORE,P,pair5,posprunflei,surtolgim,1426,969, pos, sur,5,5
LESS_P_pair5,LESS,P,pair5,surtolgim,posprunflei,969,1426, sur, pos,5,5
MORE_Q_pair5,MORE,Q,pair5,posprunflei,surtolgim,1426,969, pos, sur,5,5
LESS_Q_pair5,LESS,Q,pair5,surtolgim,posprunflei,969,1426, sur, pos,5,5
SAME_P_pair6,SAME,P,pair6,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair6,OPP,P,pair6,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair6,SAME,Q,pair6,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair6,OPP,Q,pair6,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair6,MORE,P,pair6,pinvullin,walbilsour,6757,6514, pin, wal,4,4
LESS_P_pair6,LESS,P,pair6,walbilsour,pinvullin,6514,6757, wal, pin,4,4
MORE_Q_pair6,MORE,Q,pair6,pinvullin,walbilsour,6757,6514, pin, wal,4,4
LESS_Q_pair6,LESS,Q,pair6,walbilsour,pinvullin,6514,6757, wal, pin,4,4
SAME_P_pair7,SAME,P,pair7,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair7,OPP,P,pair7,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair7,SAME,Q,pair7,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair7,OPP,Q,pair7,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair7,MORE,P,pair7,mantunkrur,stipreisdol,24818,22111, mant, stip,4,4
LESS_P_pair7,LESS,P,pair7,stipreisdol,mantunkrur,22111,24818, stip, mant,4,4
MORE_Q_pair7,MORE,Q,pair7,mantunkrur,stipreisdol,24818,22111, mant, stip,4,4
LESS_Q_pair7,LESS,Q,pair7,stipreisdol,mantunkrur,22111,24818, stip, mant,4,4
SAME_P_pair8,SAME,P,pair8,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair8,OPP,P,pair8,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair8,SAME,Q,pair8,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair8,OPP,Q,pair8,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair8,MORE,P,pair8,resnanplais,surgrouteit,581,969, res, sur,4,4
LESS_P_pair8,LESS,P,pair8,surgrouteit,resnanplais,969,581, sur, res,4,4
MORE_Q_pair8,MORE,Q,pair8,resnanplais,surgrouteit,581,969, res, sur,4,4
LESS_Q_pair8,LESS,Q,pair8,surgrouteit,resnanplais,969,581, sur, res,4,4
SAME_P_pair9,SAME,P,pair9,bold,cautious,10758,21205, bold, cautious,1,1
OPP_P_pair9,OPP,P,pair9,cautious,bold,21205,10758, cautious, bold,1,1
SAME_Q_pair9,SAME,Q,pair9,complex,simple,3716,2829, complex, simple,1,1
OPP_Q_pair9,OPP,Q,pair9,simple,complex,2829,3716, simple, complex,1,1
MORE_P_pair9,MORE,P,pair9,muspreirdou,vasfloumus,1928,34439, mus, vas,4,4
LESS_P_pair9,LESS,P,pair9,vasfloumus,muspreirdou,34439,1928, vas, mus,4,4
MORE_Q_pair9,MORE,Q,pair9,muspreirdou,vasfloumus,1928,34439, mus, vas,4,4
LESS_Q_pair9,LESS,Q,pair9,vasfloumus,muspreirdou,34439,1928, vas, mus,4,4
