trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
OPP_P_pair7,OPP,P,pair7,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair7,SAME,Q,pair7,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair7,OPP,Q,pair7,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair7,MORE,P,pair7,bunprunsul,naskairkrul,15907,7863, bun, nas,4,4
LESS_P_pair7,LESS,P,pair7,naskairkrul,bunprunsul,7863,15907, nas, bun,4,4
MORE_Q_pair7,MORE,Q,pair7,bunprunsul,naskairkrul,15907,7863, bun, nas,4,4
LESS_Q_pair7,LESS,Q,pair7,naskairkrul,bunprunsul,7863,15907, nas, bun,4,4
SAME_P_pair8,SAME,P,pair8,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair8,OPP,P,pair8,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair8,SAME,Q,pair8,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair8,OPP,Q,pair8,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair8,MORE,P,pair8,painrikai,besbonfer,4380,3400, pain, bes,3,3
LESS_P_pair8,LESS,P,pair8,besbonfer,painrikai,3400,4380, bes, pain,3,3
MORE_Q_pair8,MORE,Q,pair8,painrikai,besbonfer,4380,3400, pain, bes,3,3
LESS_Q_pair8,LESS,Q,pair8,besbonfer,painrikai,3400,4380, bes, pain,3,3
SAME_P_pair9,SAME,P,pair9,bold,cautious,16740,56608, bold, cautious,1,1
OPP_P_pair9,OPP,P,pair9,cautious,bold,56608,16740, cautious, bold,1,1
SAME_Q_pair9,SAME,Q,pair9,complex,simple,5766,3890, complex, simple,1,1
OPP_Q_pair9,OPP,Q,pair9,simple,complex,3890,5766, simple, complex,1,1
MORE_P_pair9,MORE,P,pair9,tonsasfloun,poldeizout,15981,4374, tons, pol,4,4
LESS_P_pair9,LESS,P,pair9,poldeizout,tonsasfloun,4374,15981, pol, tons,4,4
MORE_Q_pair9,MORE,Q,pair9,tonsasfloun,poldeizout,15981,4374, tons, pol,4,4
LESS_Q_pair9,LESS,Q,pair9,poldeizout,tonsasfloun,4374,15981, pol, tons,4,4
