prompt_id,clean_text,corrupt_text,io_name,s_name
21,"When Bob and Eve walked to the park, Eve gave a gift to","When Eve and Bob walked to the park, Bob gave a gift to",Bob,Eve
22,"When Nina and Iris went to the restaurant, Iris gave the menu to","When Iris and Nina went to the restaurant, Nina gave the menu to",Nina,Iris
23,"When Diana and Oscar went to the restaurant, Oscar gave the menu to","When Oscar and Diana went to the restaurant, Diana gave the menu to",Diana,Oscar
24,"When Eve and Iris went to the restaurant, Iris gave the menu to","When Iris and Eve went to the restaurant, Eve gave the menu to",Eve,Iris
25,"When Alice and Henry went to the restaurant, Henry gave the menu to","When Henry and Alice went to the restaurant, Alice gave the menu to",Alice,Henry
26,"When Frank and Alice walked to the park, Alice gave a gift to","When Alice and Frank walked to the park, Frank gave a gift to",Frank,Alice
27,"When Kate and Charlie arrived at the office, Charlie handed a letter to","When Charlie and Kate arrived at the office, Kate handed a letter to",Kate,Charlie
28,"When Frank and Iris went to the library, Iris passed a book to","When Iris and Frank went to the library, Frank passed a book to",Frank,Iris
29,"When Mary and Bob went to the restaurant, Bob gave the menu to","When Bob and Mary went to the restaurant, Mary gave the menu to",Mary,Bob
30,"When Iris and Eve went to the store, Eve gave a drink to","When Eve and Iris went to the store, Iris gave a drink to",Iris,Eve
31,"When Alice and Bob went to the restaurant, Bob gave the menu to","When Bob and Alice went to the restaurant, Alice gave the menu to",Alice,Bob
32,"When Iris and Bob went to the library, Bob passed a book to","When Bob and Iris went to the library, Iris passed a book to",Iris,Bob
33,"When Kate and Nina arrived at the office, Nina handed a letter to","When Nina and Kate arrived at the office, Kate handed a letter to",Kate,Nina
34,"When Charlie and Oscar arrived at the office, Oscar handed a letter to","When Oscar and Charlie arrived at the office, Charlie handed a letter to",Charlie,Oscar
35,"When Frank and Jack walked to the park, Jack gave a gift to","When Jack and Frank walked to the park, Frank gave a gift to",Frank,Jack
36,"When Grace and Jack went to the library, Jack passed a book to","When Jack and Grace went to the library, Grace passed a book to",Grace,Jack
37,"When Leo and Nina went to the library, Nina passed a book to","When Nina and Leo went to the library, Leo passed a book to",Leo,Nina
38,"When Kate and Diana went to the library, Diana passed a book to","When Diana and Kate went to the library, Kate passed a book to",Kate,Diana
39,"When Charlie and Grace walked to the park, Grace gave a gift to","When Grace and Charlie walked to the park, Charlie gave a gift to",Charlie,Grace
40,"When Alice and Kate arrived at the office, Kate handed a letter to","When Kate and Alice arrived at the office, Alice handed a letter to",Alice,Kate
41,"When Bob and Alice went to the store, Alice gave a drink to","When Alice and Bob went to the store, Bob gave a drink to",Bob,Alice
42,"When Leo and Henry walked to the park, Henry gave a gift to","When Henry and Leo walked to the park, Leo gave a gift to",Leo,Henry
43,"When Kate and Eve went to the store, Eve gave a drink to","When Eve and Kate went to the store, Kate gave a drink to",Kate,Eve
44,"When Nina and Grace went to the library, Grace passed a book to","When Grace and Nina went to the library, Nina passed a book to",Nina,Grace
45,"When John and Iris went to the restaurant, Iris gave the menu to","When Iris and John went to the restaurant, John gave the menu to",John,Iris
46,"When Grace and Kate went to the store, Kate gave a drink to","When Kate and Grace went to the store, Grace gave a drink to",Grace,Kate
47,"When Bob and Charlie went to the restaurant, Charlie gave the menu to","When Charlie and Bob went to the restaurant, Bob gave the menu to",Bob,Charlie
48,"When Diana and Frank arrived at the office, Frank handed a letter to","When Frank and Diana arrived at the office, Diana handed a letter to",Diana,Frank
49,"When Grace and Oscar went to the store, Oscar gave a drink to","When Oscar and Grace went to the store, Grace gave a drink to",Grace,Oscar
50,"When Bob and Leo walked to the park, Leo gave a gift to","When Leo and Bob walked to the park, Bob gave a gift to",Bob,Leo
51,"When Eve and Alice went to the restaurant, Alice gave the menu to","When Alice and Eve went to the restaurant, Eve gave the menu to",Eve,Alice
52,"When Diana and Grace went to the restaurant, Grace gave the menu to","When Grace and Diana went to the restaurant, Diana gave the menu to",Diana,Grace
53,"When John and Henry went to the library, Henry passed a book to","When Henry and John went to the library, John passed a book to",John,Henry
54,"When Oscar and John went to the restaurant, John gave the menu to","When John and Oscar went to the restaurant, Oscar gave the menu to",Oscar,John
55,"When Jack and Nina went to the store, Nina gave a drink to","When Nina and Jack went to the store, Jack gave a drink to",Jack,Nina
56,"When Frank and John went to the restaurant, John gave the menu to","When John and Frank went to the restaurant, Frank gave the menu to",Frank,John
57,"When Alice and Mary walked to the park, Mary gave a gift to","When Mary and Alice walked to the park, Alice gave a gift to",Alice,Mary
58,"When Alice and Kate arrived at the office, Kate handed a letter to","When Kate and Alice arrived at the office, Alice handed a letter to",Alice,Kate
59,"When Charlie and Alice went to the library, Alice passed a book to","When Alice and Charlie went to the library, Charlie passed a book to",Charlie,Alice
60,"When Diana and Charlie arrived at the office, Charlie handed a letter to","When Charlie and Diana arrived at the office, Diana handed a letter to",Diana,Charlie
61,"When Leo and Bob went to the library, Bob passed a book to","When Bob and Leo went to the library, Leo passed a book to",Leo,Bob
62,"When Eve and Jack went to the library, Jack passed a book to","When Jack and Eve went to the library, Eve passed a book to",Eve,Jack
63,"When Kate and Iris went to the restaurant, Iris gave the menu to","When Iris and Kate went to the restaurant, Kate gave the menu to",Kate,Iris
64,"When Nina and Oscar went to the restaurant, Oscar gave the menu to","When Oscar and Nina went to the restaurant, Nina gave the menu to",Nina,Oscar
65,"When Nina and Mary went to the library, Mary passed a book to","When Mary and Nina went to the library, Nina passed a book to",Nina,Mary
66,"When Frank and Mary walked to the park, Mary gave a gift to","When Mary and Frank walked to the park, Frank gave a gift to",Frank,Mary
67,"When John and Henry went to the restaurant, Henry gave the menu to","When Henry and John went to the restaurant, John gave the menu to",John,Henry
68,"When Frank and Henry went to the library, Henry passed a book to","When Henry and Frank went to the library, Frank passed a book to",Frank,Henry
69,"When John and Mary walked to the park, Mary gave a gift to","When Mary and John walked to the park, John gave a gift to",John,Mary
70,"When Frank and Mary went to the store, Mary gave a drink to","When Mary and Frank went to the store, Frank gave a drink to",Frank,Mary
71,"When Iris and Mary went to the store, Mary gave a drink to","When Mary and Iris went to the store, Iris gave a drink to",Iris,Mary
72,"When Frank and Charlie went to the library, Charlie passed a book to","When Charlie and Frank went to the library, Frank passed a book to",Frank,Charlie
73,"When Eve and Grace arrived at the office, Grace handed a letter to","When Grace and Eve arrived at the office, Eve handed a letter to",Eve,Grace
74,"When Oscar and Bob walked to the park, Bob gave a gift to","When Bob and Oscar walked to the park, Oscar gave a gift to",Oscar,Bob
75,"When Leo and Bob arrived at the office, Bob handed a letter to","When Bob and Leo arrived at the office, Leo handed a letter to",Leo,Bob
76,"When Bob and Iris went to the store, Iris gave a drink to","When Iris and Bob went to the store, Bob gave a drink to",Bob,Iris
77,"When Jack and Eve arrived at the office, Eve handed a letter to","When Eve and Jack arrived at the office, Jack handed a letter to",Jack,Eve
78,"When Nina and Leo arrived at the office, Leo handed a letter to","When Leo and Nina arrived at the office, Nina handed a letter to",Nina,Leo
79,"When Bob and John went to the store, John gave a drink to","When John and Bob went to the store, Bob gave a drink to",Bob,John
80,"When Iris and Kate arrived at the office, Kate handed a letter to","When Kate and Iris arrived at the office, Iris handed a letter to",Iris,Kate
81,"When Frank and Bob went to the store, Bob gave a drink to","When Bob and Frank went to the store, Frank gave a drink to",Frank,Bob
82,"When Nina and Alice walked to the park, Alice gave a gift to","When Alice and Nina walked to the park, Nina gave a gift to",Nina,Alice
83,"When Diana and Charlie arrived at the office, Charlie handed a letter to","When Charlie and Diana arrived at the office, Diana handed a letter to",Diana,Charlie
84,"When Frank and Leo arrived at the office, Leo handed a letter to","When Leo and Frank arrived at the office, Frank handed a letter to",Frank,Leo
85,"When Nina and Kate went to the store, Kate gave a drink to","When Kate and Nina went to the store, Nina gave a drink to",Nina,Kate
86,"When Bob and John went to the library, John passed a book to","When John and Bob went to the library, Bob passed a book to",Bob,John
87,"When John and Mary went to the library, Mary passed a book to","When Mary and John went to the library, John passed a book to",John,Mary
88,"When Diana and Eve walked to the park, Eve gave a gift to","When Eve and Diana walked to the park, Diana gave a gift to",Diana,Eve
89,"When Oscar and Bob arrived at the office, Bob handed a letter to","When Bob and Oscar arrived at the office, Oscar handed a letter to",Oscar,Bob
90,"When Mary and Alice arrived at the office, Alice handed a letter to","When Alice and Mary arrived at the office, Mary handed a letter to",Mary,Alice
91,"When John and Eve arrived at the office, Eve handed a letter to","When Eve and John arrived at the office, John handed a letter to",John,Eve
92,"When Nina and Charlie went to the restaurant, Charlie gave the menu to","When Charlie and Nina went to the restaurant, Nina gave the menu to",Nina,Charlie
93,"When Oscar and Alice arrived at the office, Alice handed a letter to","When Alice and Oscar arrived at the office, Oscar handed a letter to",Oscar,Alice
94,"When Henry and Bob walked to the park, Bob gave a gift to","When Bob and Henry walked to the park, Henry gave a gift to",Henry,Bob
95,"When Mary and Jack went to the store, Jack gave a drink to","When Jack and Mary went to the store, Mary gave a drink to",Mary,Jack
96,"When Mary and John went to the restaurant, John gave the menu to","When John and Mary went to the restaurant, Mary gave the menu to",Mary,John
97,"When Oscar and Grace went to the library, Grace passed a book to","When Grace and Oscar went to the library, Oscar passed a book to",Oscar,Grace
98,"When Diana and John went to the library, John passed a book to","When John and Diana went to the library, Diana passed a book to",Diana,John
99,"When Alice and Leo went to the library, Leo passed a book to","When Leo and Alice went to the library, Alice passed a book to",Alice,Leo
