prompt_id,io_name,s_name,clean_text,corrupt_text,template_id,place,object
30,Charlie,Lucy,"Then, Lucy and Charlie went to the store. Lucy gave a gift to","Then, Charlie and Charlie went to the store. Charlie gave a gift to",0,store,gift
31,Diana,Frank,"Then, Frank and Diana had a meeting at the hospital. Frank handed a gift to","Then, Diana and Diana had a meeting at the hospital. Diana handed a gift to",1,hospital,gift
32,David,Nathan,"After that, Nathan and David visited the library. Nathan passed the drink to","After that, David and David visited the library. David passed the drink to",2,library,drink
33,Kevin,Rosa,"Next, Rosa and Kevin stopped by the park. Rosa offered a gift to","Next, Kevin and Kevin stopped by the park. Kevin offered a gift to",3,park,gift
34,Victor,Grace,"Then, Grace and Victor arrived at the airport. Grace sent the bag to","Then, Victor and Victor arrived at the airport. Victor sent the bag to",4,airport,bag
35,Rachel,Paula,"Then, Paula and Rachel went to the park. Paula gave a bag to","Then, Rachel and Rachel went to the park. Rachel gave a bag to",0,park,bag
36,Sam,George,"Then, George and Sam had a meeting at the restaurant. George handed a card to","Then, Sam and Sam had a meeting at the restaurant. Sam handed a card to",1,restaurant,card
37,Frank,Charlie,"After that, Charlie and Frank visited the restaurant. Charlie passed the gift to","After that, Frank and Frank visited the restaurant. Frank passed the gift to",2,restaurant,gift
38,Irene,Peter,"Next, Peter and Irene stopped by the park. Peter offered a letter to","Next, Irene and Irene stopped by the park. Irene offered a letter to",3,park,letter
39,Henry,Oscar,"Then, Oscar and Henry arrived at the hotel. Oscar sent the note to","Then, Henry and Henry arrived at the hotel. Henry sent the note to",4,hotel,note
40,Oscar,Wendy,"Then, Wendy and Oscar went to the airport. Wendy gave a bag to","Then, Oscar and Oscar went to the airport. Oscar gave a bag to",0,airport,bag
41,Wendy,Karen,"Then, Karen and Wendy had a meeting at the station. Karen handed a key to","Then, Wendy and Wendy had a meeting at the station. Wendy handed a key to",1,station,key
42,Alice,Lucy,"After that, Lucy and Alice visited the park. Lucy passed the gift to","After that, Alice and Alice visited the park. Alice passed the gift to",2,park,gift
43,Kevin,Alice,"Next, Alice and Kevin stopped by the hotel. Alice offered a gift to","Next, Kevin and Kevin stopped by the hotel. Kevin offered a gift to",3,hotel,gift
44,Tom,Ivan,"Then, Ivan and Tom arrived at the museum. Ivan sent the phone to","Then, Tom and Tom arrived at the museum. Tom sent the phone to",4,museum,phone
45,Tina,Steve,"Then, Steve and Tina went to the store. Steve gave a drink to","Then, Tina and Tina went to the store. Tina gave a drink to",0,store,drink
46,Quinn,David,"Then, David and Quinn had a meeting at the market. David handed a bag to","Then, Quinn and Quinn had a meeting at the market. Quinn handed a bag to",1,market,bag
47,Paula,Kevin,"After that, Kevin and Paula visited the park. Kevin passed the letter to","After that, Paula and Paula visited the park. Paula passed the letter to",2,park,letter
48,Tina,Eric,"Next, Eric and Tina stopped by the station. Eric offered a box to","Next, Tina and Tina stopped by the station. Tina offered a box to",3,station,box
49,Liam,Irene,"Then, Irene and Liam arrived at the museum. Irene sent the drink to","Then, Liam and Liam arrived at the museum. Liam sent the drink to",4,museum,drink
